site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,unclassified
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Complexispora,unclassified
Site1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site6,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,unclassified
Site6,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,bareae
Site1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,Glomerales sp.
Site2,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unclassified,unclassified
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,Glomerales sp.
Site4,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unclassified
